                `)ilrnvuxzssjjmeowpkaddhhC55RRRR@@@
                _)?1rnvxxzsfjjmeowpkaddhhC55RRRR@@@
                "]~IJvuxLzsfjjymeoewddbbhC5RRRRR@@@
               :(}<tFvuxzzsfydhhC5@@pdbhCC5RRRRR@@@
              :/{>cJvuxLzzsq]_____"l@pbhC55RRRRR@@@
            .")?>cJvuxxzzsjfk"      }@dhC55RRRR@@@@
         `:"(?+ltFvuxxLzsfjjpt*,     /@b55RRRR@@@@@
_:,,,:`;|(}~>ltJnvuxxzjjjjfyR@@i,    `e@CRRRRR@@@@@
i?}}}i~+<1ItJFvvuxxLfsJnzwR@[_-      `n@hRRRR@@@@@@
ttctcttrJFnvvuuxLzLm1_^!;';``.        |@d5RRR@@@@@@
vvvvvvvvuuuuxxLzzssyu1oqzr>>jae|      (@dRRRRR@@@@@
xxxxxxxxxxLzzzssfjjjobeeph@@dp@n      ?@bRRRRRR@@@@
zzzzzzzzzsssffjjymmeemwwqqqqkq@{      }@bRRRRRR@@@@
sssfffffjjjyyymmmeoowqqpaddddp@`     `m@CRRRRRRR@@@
yyyyyyymmmmmeeeowwqqpkaddddbk@t       \@aRRRRRR@@@@
eeeeeeeooowwwwqqpkkaaddbbhhhd@'        l@dRRRRR@@@@
wwwwqwqqqqppkkaaaddbbbhhCC5d@)         `v@hRRR@@@@@
kkkkkkkaaaaddddbbbhhhCCC55C@z`          -j@5R@@@@@@
ddddddddbbbbbhhhhCCC555RRRb@)            ;@C@@@@@@@
