@@@@@@@@@@RRRRR55ChbddkpqweemjjszLxunr1?(,         
@@@@@@@@@@RRRRR55ChbddkpqweemjjszLxunr1?(,         
@@@@@@@@@@RRRRR55Chbddapqweemjjszzxuvrli[`         
@@@@@@@@@@RRRRR55ChbddpemmeemyjszzxuvFc>}\-        
@@@@@@@@@@@RRRRR5CChba@@@@ameyjfszLxuvJI+{*-       
@@@@@@@@@@@RRRRR55ChC@1/!(v5mmjjfzzLxunJc>?('`     
@@@@@@@@@@@@RRRRR5Ch@;    `>5ymjjszzLxuvFt1~}/;,`  
@@@@@@@@@@@@RRRRR5CCh^`    ,qemyjjsszLxuvnJtl>~{/!;
@@@@@@@@@@RRRRRRRR5C5@C"    i@ymmjjfszzLxuvvFJcl1<+
@@@@RRRRRRRRRRRRRRR5hCq,    '@moemyjjsszzLxuuvvnFJr
@@@RRRRRRRRRRRRRRR55d@\     `ubooeemyjjsszzzxxuuuvv
@RRRRRRRRRRRRRRRRR55b@}      >@oqwoeemyjjfsszzzLLxx
RRRRRRRRRRRRRRRRRRR5C@x`     )@wppqwooemmyjjfsssszz
RRRRRRRR55C5RRRRRRRRb@~      )@qdakpqwwoeemmmyjjjjf
RRRRRRR5555RRRRRRRR5@k:      )@pbddaappqwwooeemmmmm
RRRRRRRRRRRRRRRRRRR5R@!      (@khbbdddakkppqwwwoooo
@RRRRRRRRRRRRRRRRRRRb@[      |@aCChhbbbddaaakkppqqq
@@@RRRRRRRRRRRRRRR@@h@"      -a@555CChhhbbbdddddaka
@@@@@@RRRRRRRRR@@@@@@@:       {@hRR555CCChhhbbbbbdd
